"SEXO","TALLA"
"1","femenino",1.49
"2","femenino",1.55
"3","femenino",1.28
"4","femenino",1.48
"5","femenino",1.78
"6","femenino",1.86
"7","femenino",1.84
"8","femenino",1.7
"9","femenino",1.91
"10","femenino",1.96
"11","femenino",1.34
"12","femenino",1.75
"13","femenino",1.44
"14","femenino",2
"15","femenino",1.18
"16","femenino",NA
"17","femenino",1.8
"18","femenino",1.55
"19","femenino",1.79
"20","femenino",1.67
"21","femenino",1.46
"22","femenino",1.63
"23","femenino",1.91
"24","femenino",1.5
"25","femenino",1.6
"26","masculino",1.52
"27","masculino",1.57
"28","masculino",1.49
"29","masculino",1.47
"30","masculino",1.18
"31","masculino",2.14
"32","masculino",2.13
"33","masculino",1.7
"34","masculino",2.02
"35","masculino",2.07
"36","masculino",0.78
"37","masculino",1.51
"38","masculino",1.77
"39","masculino",1.68
"40","masculino",2.19
"41","masculino",1.71
"42","masculino",1.95
"43","masculino",1.64
"44","masculino",1.91
"45","masculino",2.18
"46","masculino",2.49
"47","masculino",1.54
"48","masculino",1.62
"49","masculino",1.08
"50","masculino",1.71
